status,product_area,response,justification,request_type
escalated,interview,"Thank you for reaching out about candidate inactivity during interviews. Based on the HackerRank documentation, I can share the following information about inactivity handling:

Currently, HackerRank has one documented inactivity timeout mechanism: when all interviewers leave an interview (via the ""Leave Interview"" option), if no other interviewers are present, the candidate is automatically moved to the lobby, and the interview ends after an hour of inactivity.

Additionally, when using Observation Mode (which allows interviewers to monitor a candidate's screen in real time), the Observation Mode session ends automatically if the candidate becomes idle or disconnects.

However, the specific 20-minute timeout you're experiencing—where candidates are being sent back to the HR lobby after approximately 20 minutes during screen share sessions—is not documented in the available support materials. The documented behavior doesn't indicate different inactivity timeouts for candidates versus interviewers, nor does it explain a 20-minute ejection threshold during observation sessions.

Since this behavior doesn't match the documented inactivity policies and significantly impacts your interview process, I'm escalating this to our support team for investigation. They can help determine:

1. Whether there is a 20-minute inactivity timeout being applied to candidates or interviewers during screen sharing
2. If this differs from the one-hour timeout documented for when all interviewers leave
3. Whether this timeout can be extended or configured for your company
4. If there are any settings that control how activity is monitored during screen observations

Our support team will be in touch to help resolve this issue.","The ticket describes a specific product behavior (candidates being sent to the lobby after ~20 minutes during screen share) that does not match documented inactivity timeout settings. The only documented inactivity timeout is one hour after all interviewers leave the interview. There is no mention of a 20-minute timeout in the support materials, no documentation of different timeout thresholds for candidates during Observation Mode, and no clear explanation of how ""activity"" is tracked when interviewers are only viewing screen shares (not actively using the HackerRank interface). The ticket requests confirmation of current inactivity times and potentially an extension of these times. Given that the reported behavior is undocumented and potentially unexpected, and the ticket requests product clarification and potential configuration changes, escalation is appropriate to allow investigation and accurate support.",product_issue
replied,,"Thank you for reaching out. Your message ""it's not working"" is too vague for me to provide specific help. To assist you effectively, I need more details about what you're trying to do.

Please provide:
1. What product or feature are you using? (e.g., Claude on the web, Claude for iOS/Android, Claude Code, API, etc.)
2. What is not working? (e.g., cannot log in, feature not available, error message, etc.)
3. What were you trying to do when the issue occurred?
4. If there's an error message, please share the exact text

Once you provide these details, I'll be able to help you troubleshoot the issue.","The ticket does not provide sufficient information to identify a specific product issue, feature request, or bug. The phrase ""it's not working"" without context is ambiguous. Given that the corpus contains support documentation for multiple products (Claude chat, API, Code, Desktop, integrations, etc.), additional clarification is required to provide targeted assistance. This is an out-of-scope request in its current form, as it does not specify what product or feature the user is experiencing problems with.",invalid
replied,teams-management,"To remove an interviewer from the platform, you'll need to remove them from the team. Here are the steps:

1. Log in to your HackerRank for Work account
2. Click your profile icon in the upper-right corner
3. Select Teams Management from the dropdown menu
4. Go to the Teams tab
5. Select the team from which you want to remove the interviewer
6. Select the Users tab
7. Locate the interviewer in the list
8. Click the delete icon in the Action column

Once you remove the user from the team, they will no longer have access to the platform for that team. If they need to be removed entirely from your company account, you can use the three-dot icon next to their name in the User Management section to remove them from all teams or perform other administrative actions.","The support documentation from the ""Manage Team Members"" article clearly states how to remove a team member. The process involves navigating to Teams Management > Teams tab > selecting a team > Users tab, then clicking the delete icon in the Action column next to the user's name. This is the standard procedure for removing any user, including interviewers, from a team in HackerRank. The documentation also references the three-dot icon menu in the user management section for additional user actions.",product_issue
escalated,subscriptions,"Thank you for contacting HackerRank. We understand you need to pause your subscription due to halting hiring efforts.

The pause subscription feature is currently available for individual monthly subscribers (Individual Monthly - Basic and Interview Monthly plans) through the self-serve billing portal. However, your request indicates a company-level account (HackerRank) seeking to pause an organizational subscription, which may differ from the individual subscription model documented in our support resources.

Since your account type and subscription structure may require special handling that falls outside standard self-serve options, we recommend reaching out to our support team directly to discuss your specific situation and explore the best resolution for your company's needs.

Please contact us at support@hackerrank.com or submit a support request through the HackerRank for Work platform footer to have a specialist review your account and assist with your subscription pause request.","The support documentation on pause subscriptions only covers individual monthly subscribers (Individual Monthly - Basic and Interview Monthly plans) and does not address organizational or team-level subscription pauses. The ticket indicates a company-level account (HackerRank) requesting a subscription pause for hiring operations, which is distinct from individual subscriber scenarios. Additionally, the Manage Billing documentation references HackerRank for Work administrators but does not provide explicit guidance on pausing organizational subscriptions. Since the ticket involves a company-wide billing/subscription request that is not clearly covered in the retrieved support documentation, escalation to the support team is appropriate to ensure accurate handling of the company's account-specific requirements.",product_issue
escalated,troubleshooting,"We understand that Claude is not responding and all your requests are failing. This could be due to several causes including service capacity constraints, connectivity issues on your end, or a broader service incident.

Here are immediate steps you can try:
1. Check the status page at status.claude.com for any confirmed service incidents or outages.
2. If using the Claude API, verify your connection by ensuring there are no firewall or network restrictions blocking the API endpoint, and confirm you're not using a VPN.
3. Try clearing your browser cache and cookies, and disable any browser extensions if you're using Claude.ai.
4. Temporary capacity constraints are not outages and typically resolve within minutes - try again in a few moments.

Since you report that all requests are failing, this may indicate a service-level issue that requires investigation by our support team. Please contact support through your Claude or Console account by clicking your initials in the lower left corner and selecting ""Get help,"" or use the support messenger in the Help Center. If you're unable to log in, you can click the message icon in the lower right corner of the Help Center to request assistance.","The ticket reports complete service failure with all requests failing, which matches the characteristics of either a service outage or a serious account-level issue. The support documentation (claude/troubleshooting/12466728-troubleshoot-claude-error-messages.md) distinguishes between capacity constraints, connection errors, and service incidents, but provides limited automated troubleshooting steps for a complete system failure. The documentation recommends checking status.claude.com for confirmed incidents and contacting support for service-level issues. Since the ticket describes a critical failure affecting all requests, this requires human investigation and cannot be safely resolved through standard troubleshooting steps alone. Escalation is appropriate to ensure proper investigation of a potential service incident or serious account issue.",bug
escalated,card_security,"We understand your concern about identity theft. The Visa support documentation available to me references a dedicated Lost or Stolen card page for guidance on canceling your card and obtaining emergency replacement services. However, because identity theft is a serious matter that may extend beyond Visa card-related actions and may involve broader personal identity recovery steps, fraud reporting with government authorities, or credit monitoring, your case requires specialized handling that goes beyond our standard support scope. We are escalating your ticket to our specialized support team who can provide comprehensive guidance tailored to your specific situation and the extent of the identity theft.","The support documentation in the Visa Consumer Support FAQ (support.md) acknowledges identity theft and directs users to a dedicated Lost or Stolen card page for Visa card-specific steps. However, the referenced page is not available in the support corpus, and identity theft is inherently a sensitive and potentially serious issue that may require coordinated action beyond Visa card cancellation, such as fraud reporting with law enforcement, credit monitoring, or other account remediation. The ticket lacks critical details about whether the identity theft involves only the Visa card or extends to other accounts. Given the sensitive nature, absence of the referenced detailed documentation, and potential need for broader identity recovery support, escalation is appropriate.",product_issue
escalated,Resume Builder,"Thank you for reporting that the Resume Builder is down. This is a critical service issue that requires immediate investigation by our technical team.

I've reviewed the available support documentation for the Resume Builder, which confirms that it's a feature of HackerRank Community designed to help you create professional resumes with templates, import existing resumes, and optimize your resume using AI tools like Resume Matcher and AI Review.

However, I don't have current information about active service outages or real-time system status in the support documentation. For service disruptions or ongoing outages, please check the HackerRank Status Page at https://status.hackerrank.com for real-time updates.

If the Resume Builder continues to be unavailable, please contact HackerRank Community Support at help@hackerrank.com with details about the issue you're experiencing, including:
- When you first noticed the problem
- The specific error message or behavior (if any)
- Your browser and operating system
- Whether you've tried clearing your browser cache or using a different browser

Our support team can investigate the issue and provide updates on resolution.","The ticket reports that the Resume Builder is down, which is a potential service outage. Although I found documentation confirming the Resume Builder exists and its normal functionality (in hackerrank_community/additional-resources/job-search-and-applications/9106957203-create-a-resume-with-resume-builder.md), I found no information about current outages, known issues, or troubleshooting steps specific to the Resume Builder being unavailable. The support documentation does reference the HackerRank Status Page (https://status.hackerrank.com) for real-time updates on platform-wide incidents, but the corpus does not contain current status information. Without evidence of documented workarounds or known issues, and given that the user reports a complete service outage (Resume Builder is Down), this requires escalation to technical support for investigation. The appropriate contact for Community users is help@hackerrank.com.",product_issue
replied,Certifications,"Good news! You can update the name on your certificate. Here's how:

1. Open your certificate page.
2. In the Full Name field, enter the correct name you want to display.
3. Click Regenerate Certificate.
4. In the confirmation dialog, click Update Name.

The platform will update your certificate with the new name.

Please note that you can only update the name once per account, and the change applies to all your certificates. Once updated, you won't be able to change it again.",The Certifications FAQs document (hackerrank_community/certifications/8941367927-certifications-faqs.md) directly addresses this request. It explicitly states that users can update the name on their certificate once per account by following the four-step process provided in the response. The document also clearly notes the limitation that the change applies to all certificates and cannot be changed again after the first update.,product_issue
replied,consumer support,"To dispute a charge on your Visa card, please contact your issuer or bank using the freephone number located on the front or back of your Visa card (freephone available only when dialing from within the USA). Your issuer or bank will guide you through the dispute process and may require detailed information regarding the transaction before resolving the disputed charge.","The support documentation (support.md, Visa Consumer Support FAQ) provides the standard process for disputing a charge: contact the issuer/bank via the phone number on the card. The ticket's question directly matches the documented FAQ entry ""How do I dispute a charge?""",product_issue
replied,safeguards,"Thank you for your interest in helping us improve Claude's security. Anthropic has two main channels for reporting security concerns:

For technical vulnerabilities in our information systems (such as misconfigurations, privilege escalation attacks, SQL injection, XSS, and directory traversal attacks), please review Anthropic's Responsible Disclosure Policy and submit your report through the vulnerability disclosure program on HackerOne at https://hackerone.com/297a385f-b3bd-4ecd-9466-7d9ad55371ce/embedded_submissions/new.

If you have identified a universal jailbreak (a generalized technique that bypasses safety measures across a range of harmful queries related to biological threats), you can apply to participate in Anthropic's Model Safety Bug Bounty Program, which offers bounties up to $35,000 per novel, universal jailbreak. To apply, visit https://docs.google.com/forms/d/e/1FAIpQLSf3IuyunFH1Rbz_9Bpt2kGBfwSW5QQ1TBkeAzNZrtCP-hRvNA/viewform. You will need a HackerOne account to participate.

Please choose the appropriate channel based on the nature of your finding. The Responsible Disclosure Policy provides additional guidance on how to submit your report securely.","The support corpus contains two relevant documents: the Model Safety Bug Bounty Program (safeguards/12119250) and Public Vulnerability Reporting (safeguards/11427875). The former specifies that technical vulnerabilities in information systems should be reported via the Responsible Disclosure Policy through a HackerOne link, while universal jailbreaks can be submitted through the Model Safety Bug Bounty Program with application instructions and bounty details provided. The ticket is asking about a security vulnerability but does not specify what type, so the response directs the user to the appropriate reporting channel based on vulnerability type as documented in the support corpus.",product_issue
replied,privacy_and_legal,"To prevent Claude from crawling your website, you can add directives to your robots.txt file to block the ClaudeBot. Here are two approaches:

To completely block crawling of your website, add this to your robots.txt file in your top-level directory (and repeat for any subdomains you wish to opt out):

User-agent: ClaudeBot
Disallow: /

To limit rather than completely block crawling activity, you can use a Crawl-delay directive:

User-agent: ClaudeBot
Crawl-delay: 1

Anthropic's Bots respect industry standard robots.txt directives. Blocking via IP addresses may not work reliably, as it prevents Anthropic from reading your robots.txt file.

If you need to report that our crawlers are malfunctioning or have other concerns, you can contact claudebot@anthropic.com with details about your domain.",The support documentation at privacy-and-legal/8896518 explicitly addresses this request. It explains that Anthropic uses ClaudeBot for web crawling and provides instructions for site owners to block the crawler by modifying their robots.txt file with a Disallow directive for the ClaudeBot user-agent. The documentation also notes that Anthropic respects robots.txt directives and provides contact information for issues with the crawler.,product_issue
replied,,"This request is outside the scope of Visa's standard support offerings. Visa does not provide personal loans or cash advances through support channels. However, if you have a valid Visa card, you may have options: (1) Use the Global ATM Locator at visa.com/atmlocator to find an ATM and withdraw cash using your available balance or credit limit; (2) Contact your bank or card issuer to inquire about cash advance options they may offer on your Visa card; (3) If you are traveling, Visa's Global Customer Assistance Services (available at +1 303 967 1090, 24/7) can provide information on emergency cash services. For questions specific to your card and account, please contact your bank or card issuer directly.","This ticket requests urgent personal cash, which is not a product or feature support question about Visa services. The support corpus contains no policies for cash advances or personal financial assistance. The corpus does document that Visa's Global Customer Assistance Services can provide emergency cash and card replacement services (support/consumer/travel-support.md, line 124), but only in the context of lost/stolen cards or travel emergencies. The ticket does not describe a lost card, theft, or travel emergency—it is a general personal finance request. This is classified as invalid because it does not align with the defined support request types (product_issue, feature_request, bug). For guidance on cash withdrawal using the card itself, the corpus points to ATM services and bank-issuer contacts, but the underlying request for unsecured cash assistance is not supported by the corpus and falls outside Visa's documented support scope.",invalid
escalated,privacy,"Thank you for your question about how long your data is retained when you allow Claude to use it for model improvement.

Based on the support documentation available, I found that for the Development Partner Program (available for Claude Code on commercial products), data is stored securely for up to two years when you voluntarily opt in to allow data sharing for model training.

However, for consumer plans (Free, Pro, and Max), the specific retention duration for data used in model improvement is not detailed in the support documentation I have access to. The support materials explain that when you opt in to allow us to improve Claude:

- Your data is de-linked from your identity before review
- Access is limited to personnel involved in model training
- Your data is used solely to improve Claude for everyone

For comprehensive details specific to your account type and plan, I recommend reviewing the Privacy Center at privacy.anthropic.com or privacy.claude.com, or contacting Anthropic support directly, as they can provide plan-specific information about data retention durations for model improvement.","The support corpus contains information about the Development Partner Program (which specifies up to 2 years retention for Claude Code data) and general information about privacy protections for model improvement on consumer products, but does not provide explicit retention duration details for consumer plan users (Free, Pro, Max) who opt in to model improvement. The article ""I would like to input sensitive data into my chats with Claude. Who can view my conversations?"" discusses privacy protections but not specific durations. The document references external Privacy Center resources (privacy.anthropic.com and privacy.claude.com) as the authoritative sources for detailed information about data retention and model training practices. Without access to the specific retention policy documents, I cannot provide a complete answer grounded in the corpus.",product_issue
replied,,"This request is outside the scope of our support services. We cannot provide code or instructions for deleting system files. If you have questions related to a supported product or service, please submit a new support request with details about the issue you're experiencing.","This ticket is requesting code for a destructive system operation (deleting all files) which is not a legitimate product support request. The request does not relate to any supported product documented in the provided corpus and appears to be either a test, malicious intent, or off-topic. No grounded support documentation applies to this request.",invalid
replied,travel_support,"We cannot provide internal fraud detection rules, algorithms, or proprietary decision-making logic. This request asks for sensitive information that is not included in our support documentation.

However, we can help with your blocked card. If your card has been blocked during travel, here are the recommended steps:

1. Contact your bank or card issuer immediately to understand why your card was blocked. They can determine if it was flagged for unusual activity or another reason.

2. If you need emergency assistance while travelling, call Visa Global Customer Assistance Services (GCAS) at +1 303 967 1090. Available 24/7, they can help unblock your card within 30 minutes and can also provide emergency cash and replacement cards.

3. For future travels, inform your bank in advance about your travel dates and destinations to prevent your card from being incorrectly flagged as suspicious activity.

To prevent blocks during travel, activate your card for overseas use before departing, and notify your bank where and when you're travelling.","The ticket contains two components. The first part requests proprietary fraud detection rules and decision logic—sensitive information not published in support documentation. This is an invalid request as it seeks to expose internal security processes not intended for disclosure. The second part describes a blocked card during travel, which is a legitimate product issue. Per the corpus (support/consumer/travel-support.md), when cards are blocked abroad, cardholders should contact GCAS at +1 303 967 1090 (available 24/7), inform their bank in advance of travel, and check that cards are activated for overseas use before departure. The response addresses the valid product issue while declining the invalid sub-request for proprietary fraud methodology.",invalid
escalated,amazon_bedrock,"Thank you for contacting us about your Claude API failures in Amazon Bedrock. Since you are using Claude through AWS Bedrock, requests for technical troubleshooting related to integration issues, connectivity problems, or API failures should be directed to AWS Support. Please contact AWS Support directly for assistance with debugging your failing requests. For community-based support, you can also visit AWS re:Post. If you have a private contract with Anthropic for your Bedrock usage, you can reach out to your Anthropic relationship manager for additional assistance.","The ticket describes failing API requests to Claude via AWS Bedrock. According to the support documentation from amazon-bedrock/7996921-i-use-claude-in-amazon-bedrock-who-do-i-contact-for-customer-support-inquiries.md, Claude in Amazon Bedrock technical support is handled by AWS Support, not directly by Anthropic's support team. The documentation explicitly states to ""Contact AWS Support for Claude in Amazon Bedrock support inquiries."" Since this is a technical troubleshooting issue that requires debugging specific API failures and their root causes, escalation to AWS Support is necessary as they have the technical infrastructure and logging access needed to diagnose the problem.",product_issue
replied,teams-management,"To remove an employee from your HackerRank hiring account, you have two main options:

**Option 1: Lock the User Account (Recommended)**
This prevents the employee from accessing the platform while keeping the account available for reuse:

1. Log in to your HackerRank for Work account
2. Select your profile icon (top-right corner) and choose Teams Management
3. Go to the Users tab
4. Select the employee and click More, then Lock
5. In the Lock Users dialog, select a user to transfer resource ownership (tests, interviews, etc. will be transferred to this user)
6. Click Confirm

The locked user cannot log in and will see an error message if they attempt to access the platform.

**Option 2: Remove from Teams**
If the employee belongs to specific teams, you can remove them from those teams:

1. Go to Teams Management > Teams tab
2. Select the team where you want to remove the employee
3. Click the Users tab
4. Click the delete icon next to the employee's name in the Action column
5. Confirm the removal

Note: If the employee belongs to only one team and you remove them from it, they will be locked out of the platform.

Both options ensure the employee loses access to your hiring account. Choose the first option if you want to preserve their resources for transfer or future reuse.","The support documentation provides clear procedures for removing employees from HackerRank for Work accounts. The ""Lock User Access"" article (settings/teams-management/6534774997-locking-user-access-from-hackerrank.md) details how to lock user accounts to prevent platform access while keeping accounts available for reuse. The ""Manage Team Members"" article (settings/teams-management/2203617737-manage-team-members.md) provides steps to remove team members from specific teams. The ""Getting Started with Teams Management"" article (settings/teams-management/1508181842-teams-management.md) also mentions the ""Remove from Teams"" option with resource transfer capability. These are the supported methods for removing employee access from the HackerRank hiring platform.",product_issue
escalated,claude_for_education,"Thank you for reaching out about setting up Claude LTI for your students. Setting up the Claude LTI integration in Canvas requires administrative access to both your Canvas LMS platform and Claude for Education organization settings. This setup must be performed by Claude for Education administrators and Learning Management Systems (LMS) administrators, not individual faculty members.

Since you are a professor and not a system administrator, you will need to work with your university's IT department or the designated Claude for Education administrator at your institution to set up the LTI integration. They will have the necessary access to configure the integration in both Canvas and Claude for Education.

Please contact your university's IT support or administrator to request this LTI setup. If you have additional questions about the integration process, your administrator can find the step-by-step setup documentation available in the support resources.","The support documentation explicitly states that the Claude LTI setup steps in Canvas ""are intended for Claude for Education administrators and Learning Management Systems (LMS) administrators."" The professor ticket indicates the user is a professor seeking to set up the integration for their own students, which requires administrator-level access that professors typically do not have. The documentation indicates that setup must happen at both the Canvas Admin level and in Claude for Education organization settings (as an administrator). Since the user is not an administrator, they cannot directly perform these setup steps. The documentation directs non-administrative users with questions to ""contact your university's administrator(s)."" This is appropriately an escalation to university administrative support channels rather than a direct support response from the Claude support team, as the support documentation makes clear this is an administrator-level task.",product_issue
